epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2502.76,0.97552,0.56102,1.06777,0.91715,0.84047,0.91894,0.63692,1.17267,0.59194,1.21584,0.000226497,0.000226497,0.000226497
87,2531.88,0.97822,0.58664,1.06959,0.91715,0.84755,0.93091,0.64934,1.16527,0.58744,1.20801,0.000212349,0.000212349,0.000212349
88,2560.9,0.94596,0.54773,1.05052,0.85111,0.86593,0.92578,0.64275,1.17134,0.61392,1.21649,0.000198202,0.000198202,0.000198202
89,2590.05,0.93532,0.53816,1.04156,0.86181,0.88404,0.92747,0.64458,1.15928,0.58868,1.21302,0.000184055,0.000184055,0.000184055
90,2619.06,0.9589,0.55394,1.05977,0.90189,0.82792,0.93574,0.64486,1.1545,0.57235,1.20883,0.000169908,0.000169908,0.000169908
91,2648.86,0.89809,0.38831,1.06012,0.87711,0.83557,0.92336,0.63472,1.181,0.59409,1.21361,0.000155761,0.000155761,0.000155761
92,2677.86,0.87712,0.37082,1.05858,0.88019,0.82797,0.9173,0.62866,1.17623,0.59697,1.2137,0.000141614,0.000141614,0.000141614
93,2706.89,0.8795,0.36517,1.05418,0.86636,0.84338,0.92038,0.63783,1.16309,0.59458,1.21006,0.000127467,0.000127467,0.000127467
94,2735.88,0.87079,0.36099,1.05325,0.90496,0.819,0.91556,0.63419,1.16261,0.60451,1.20522,0.00011332,0.00011332,0.00011332
95,2764.78,0.85465,0.36211,1.04385,0.83765,0.87486,0.91964,0.64412,1.17537,0.61412,1.21612,9.91726e-05,9.91726e-05,9.91726e-05
96,2793.58,0.85645,0.36286,1.04097,0.83712,0.88199,0.92184,0.64057,1.17877,0.60444,1.21758,8.50255e-05,8.50255e-05,8.50255e-05
97,2822.58,0.84456,0.35648,1.03739,0.85176,0.88947,0.92544,0.64302,1.17437,0.59531,1.21311,7.08784e-05,7.08784e-05,7.08784e-05
98,2851.58,0.84891,0.35431,1.03275,0.84251,0.89195,0.92254,0.6451,1.17286,0.59796,1.21569,5.67313e-05,5.67313e-05,5.67313e-05
99,2880.59,0.84474,0.34825,1.03768,0.85131,0.87413,0.92,0.63988,1.17096,0.60062,1.21504,4.25842e-05,4.25842e-05,4.25842e-05
100,2909.48,0.8347,0.34783,1.03328,0.91264,0.81542,0.91908,0.64173,1.17617,0.60383,1.21678,2.84371e-05,2.84371e-05,2.84371e-05
